BGP Mux,Peer organization,Peer ASN,Peer IP address,IP version,Short description,Transit,Route Server,Session ID
amsterdam01,Phonera Networks AB,16150,80.249.209.52,IPv4,,False,False,45
amsterdam01,Mainsoft S.p.A.,51185,80.249.210.163,IPv4,,False,False,46
amsterdam01,Seeweb s.r.l.,12637,80.249.210.172,IPv4,,False,False,47
amsterdam01,TransTeleCom,20485,80.249.210.177,IPv4,,False,False,48
amsterdam01,Seacom ltd,37100,80.249.210.223,IPv4,,False,False,49
amsterdam01,Hutchison Global Communications Limited,9304,80.249.210.31,IPv4,,False,False,50
amsterdam01,Mail.ru LLC,47764,80.249.210.47,IPv4,,False,False,51
amsterdam01,Computerline,41913,80.249.211.177,IPv4,,False,False,53
amsterdam01,LinkedIn,14413,80.249.211.185,IPv4,,False,False,54
amsterdam01,Mail.ru LLC,47764,80.249.211.188,IPv4,,False,False,55
amsterdam01,Bharti Airtel (UK) Ltd,9498,80.249.211.191,IPv4,,False,False,56
amsterdam01,Pacnet Global / Asia Netcom / ANC,10026,80.249.211.239,IPv4,,False,False,57
amsterdam01,Riot Games Ltd,6507,80.249.211.64,IPv4,,False,False,58
amsterdam01,Riot Games Ltd,6507,80.249.211.66,IPv4,,False,False,59
amsterdam01,XS4ALL,3265,80.249.208.48,IPv4,,False,False,62
amsterdam01,XS4ALL,3265,80.249.208.166,IPv4,,False,False,63
amsterdam01,Apple,714,80.249.211.160,IPv4,,False,False,64
amsterdam01,Apple,714,80.249.211.183,IPv4,,False,False,65
amsterdam01,LinkedIn,14413,2001:7f8:1:0:a500:19:7612:1,IPv6,,False,False,66
amsterdam01,Equinix EU,47886,80.249.208.245,IPv4,,False,False,246
amsterdam01,Equinix EU,47886,2001:7f8:1::a504:7886:2,IPv6,,False,False,247
amsterdam01,Equinix EU,47886,80.249.209.222,IPv4,,False,False,248
amsterdam01,Equinix EU,47886,2001:7f8:1::a504:7886:1,IPv6,,False,False,249
amsterdam01,Equinix EU,15830,80.249.208.113,IPv4,,False,False,250
amsterdam01,Equinix EU,15830,2001:7f8:1::a501:5830:1,IPv6,,False,False,251
amsterdam01,Dropbox,19679,80.249.212.14,IPv4,,False,False,252
amsterdam01,Dropbox,19679,2001:7f8:1::a501:9679:1,IPv6,,False,False,253
amsterdam01,Amsterdam Internet Exchange,1200,2001:7f8:1::a500:1200:1,IPv6,Administrative LAN,False,False,67
amsterdam01,Amsterdam Internet Exchange,1200,2001:7f8:1::a500:1200:2,IPv6,Administrative LAN,False,False,68
amsterdam01,Packet Clearing House,3856,2001:7f8:1::a500:3856:1,IPv6,,False,False,69
amsterdam01,Packet Clearing House,42,2001:7f8:1::a500:42:1,IPv6,,False,False,70
amsterdam01,Amsterdam Internet Exchange,6777,2001:7f8:1::a500:6777:1,IPv6,Route Server 1,False,True,71
amsterdam01,Amsterdam Internet Exchange,6777,2001:7f8:1::a500:6777:2,IPv6,Route Server 2,False,True,72
amsterdam01,Hurricane Electric,6939,2001:7f8:1::a500:6939:1,IPv6,,False,False,73
clemson01,Clemson University,12148,130.127.3.136,IPv4,,True,False,190
cornell01,Cornell University,26,192.35.82.77,IPv4,Upstream BGP Router,True,False,13
gatech01,Georgia Institute of Technology,2637,143.215.254.25,IPv4,Upstream BGP Router,True,False,15
grnet01,GRNet,5408,62.217.96.202,IPv4,GRNet upstream router,True,False,178
isi01,Los Nettos Regional Network,226,207.151.17.57,IPv4,Upstream BGP Router,True,False,14
neu01,Northeastern University,156,10.2.29.113,IPv4,,True,False,182
phoenix01,Packet Clearing House,3856,2001:504:3b::69,IPv6,,False,False,195
phoenix01,Packet Clearing House,42,206.41.105.68,IPv4,,False,False,196
phoenix01,Packet Clearing House,42,2001:504:3b::68,IPv6,,False,False,197
phoenix01,Phoenix Internet Exchange,5118,206.41.105.5,IPv4,Route Server 1,False,True,8
phoenix01,Pavlov Media,23473,2001:504:3b::49,IPv6,,False,False,208
phoenix01,Syringa Networks,15305,206.41.105.16,IPv4,,False,False,244
phoenix01,Phoenix Internet Exchange,5118,2001:504:3b::6,IPv6,Route Server 2,False,True,12
phoenix01,Salesforce Inc.,14340,2001:504:3b::62,IPv6,,False,False,315
phoenix01,Phoenix Internet Exchange,53698,206.41.105.9,IPv4,IXP Transit,False,False,10
phoenix01,Syringa Networks,15305,2001:504:3b::16,IPv6,,False,False,245
phoenix01,Pavlov Media,23473,206.41.105.49,IPv4,,False,False,207
phoenix01,Packet Clearing House,3856,206.41.105.69,IPv4,,False,False,194
phoenix01,Salesforce Inc.,14340,206.41.105.62,IPv4,,False,False,314
phoenix01,Cloudflare,13335,206.41.105.53,IPv4,,False,False,198
phoenix01,Hurricane Electric,6939,206.41.105.14,IPv4,,False,False,161
phoenix01,Hurricane Electric,6939,2001:504:3b::14,IPv6,,False,False,162
phoenix01,"Oath, Inc",10310,206.41.105.36,IPv4,,False,False,411
phoenix01,Phoenix Internet Exchange,5118,206.41.105.6,IPv4,Route Server 2,False,True,9
phoenix01,"Oath, Inc",10310,2001:504:3b::36,IPv6,,False,False,412
phoenix01,"Oath, Inc",10310,206.41.105.56,IPv4,,False,False,413
phoenix01,"Oath, Inc",10310,2001:504:3b::56,IPv6,Oath/Yahoo,False,False,414
phoenix01,Cloudflare,13335,2001:504:3b::53,IPv6,,False,False,199
phoenix01,Phoenix Internet Exchange,5118,2001:504:3b::5,IPv6,Route Server 1,False,True,11
sbu01,Stony Brook University,5719,129.49.7.81,IPv4,Upstream router,True,False,183
seattle01,Github,36459,206.81.81.89,IPv4,,False,False,399
seattle01,Seattle Internet Exchange,33108,206.81.80.3,IPv4,Route Server 3,False,True,2
seattle01,Seattle Internet Exchange,33108,2001:504:16::2,IPv6,Route Server 2,False,True,5
seattle01,Seattle Internet Exchange,33108,2001:504:16::3,IPv6,Route Server 3,False,True,6
seattle01,psg.com / RGNet,3130,206.81.80.23,IPv4,,True,False,101
seattle01,Altopia,6456,206.81.80.10,IPv4,,False,False,106
seattle01,Altopia,6456,2001:504:16::1938,IPv6,,False,False,107
seattle01,Altopia,6456,206.81.81.41,IPv4,,False,False,108
seattle01,Altopia,6456,2001:504:16::297:0:1938,IPv6,,False,False,109
seattle01,LocalTel Communications / Northwest Internet,13370,206.81.80.173,IPv4,,False,False,110
seattle01,psg.com / RGNet,3130,2001:504:16::c3a,IPv6,,True,False,112
seattle01,Packet Clearing House,3856,2001:504:16::f10,IPv6,,False,False,118
seattle01,Packet Clearing House,3856,206.81.80.81,IPv4,,False,False,117
seattle01,Packet Clearing House,42,2001:504:16::2a,IPv6,,False,False,116
seattle01,Packet Clearing House,42,206.81.80.80,IPv4,,False,False,115
seattle01,SG.GS Singapore,24482,206.81.81.61,IPv4,,False,False,121
seattle01,SG.GS Singapore,24482,2001:504:16::5fa2,IPv6,,False,False,122
seattle01,Fusion Network/LiveAir Networks,19754,206.81.81.93,IPv4,,False,False,153
seattle01,Hurricane Electric,6939,206.81.80.40,IPv4,,False,False,159
seattle01,Hurricane Electric,6939,2001:504:16::1b1b,IPv6,,False,False,160
seattle01,Digital Fortress,3361,206.81.80.159,IPv4,,False,False,163
seattle01,Facebook,32934,2001:504:16::80a6,IPv6,pr01.sea1,False,False,174
seattle01,Facebook,32934,2001:504:16::211:0:80a6,IPv6,pr02.sea1,False,False,175
seattle01,Facebook,32934,206.81.80.181,IPv4,pr01.sea1,False,False,176
seattle01,Facebook,32934,206.81.80.211,IPv4,pr02.sea1,False,False,177
seattle01,AEBC Internet Corp,25668,206.81.80.103,IPv4,,False,False,189
seattle01,OVH,16276,206.81.80.214,IPv4,,False,False,200
seattle01,OVH,16276,2001:504:16::3f94,IPv6,,False,False,201
seattle01,AirStream,11796,206.81.81.117,IPv4,,False,False,209
seattle01,AirStream,11796,2001:504:16::2e14,IPv6,,False,False,210
seattle01,MNVoip,32621,206.81.81.119,IPv4,,False,False,212
seattle01,MNVoip,32621,2001:504:16::7f6d,IPv6,,False,False,213
seattle01,Blizzard,57976,206.81.81.122,IPv4,,False,False,214
seattle01,Blizzard,57976,2001:504:16::e278,IPv6,,False,False,215
seattle01,Wobscale,64241,206.81.81.87,IPv4,,False,False,285
seattle01,Twitch,46489,206.81.81.54,IPv4,,False,False,222
seattle01,Twitch,46489,206.81.81.55,IPv4,,False,False,223
seattle01,Twitch,46489,2001:504:16::b599,IPv6,,False,False,224
seattle01,Twitch,46489,2001:504:16::311:0:b599,IPv6,,False,False,225
seattle01,Dropbox,19679,206.81.81.112,IPv4,,False,False,226
seattle01,Dropbox,19679,2001:504:16::4cdf,IPv6,,False,False,227
seattle01,Unwired Ltd.,32354,206.81.81.53,IPv4,,False,False,228
seattle01,Unwired Ltd.,32354,2001:504:16::7e62,IPv6,,False,False,229
seattle01,Noelcomm,26935,206.81.80.125,IPv4,,False,False,230
seattle01,Noelcomm,26935,206.81.81.156,IPv4,,False,False,231
seattle01,Noelcomm,26935,2001:504:16::6937,IPv6,,False,False,232
